bps,fixed,fee_mult,downtime,fee_mode,policy,capital,days,paid,retained_fees,ending_capital,total_wealth,gross_fees,costs,unrecovered_costs,fee_reserve,rebalances,settlements,max_drawdown,close_in_range_fraction,crossing_bar_fraction,narrow_fraction,gross_fee_apr_pct,spendable_apr_pct
10.0,0.1,0.5,1,strict,fixed_3,190.0,17.99652777777778,2.4761705786509487,2.4761705786509496,181.35182506063717,183.8279956392881,10.046431784294528,5.094090626992644,0.0,0.0,17,18,0.08036089559332749,0.9915107080841211,0.0136986301369863,0.0,107.24137708957835,26.43206548003978
10.0,0.1,0.5,1,strict,fixed_5,190.0,17.99652777777778,1.6280446057577207,1.6280446057577214,188.00501187055363,189.63305647631134,6.397525865341512,3.141436653826058,0.0,0.0,7,17,0.08174016904591963,0.9959482924946942,0.0040517075053058075,0.0,68.29086172047278,17.37868222602756
10.0,0.1,0.5,1,strict,economic_3_30m_5,190.0,17.99652777777778,2.4761705786509487,2.4761705786509496,181.35182506063717,183.8279956392881,10.046431784294528,5.094090626992644,0.0,0.0,17,18,0.08036089559332749,0.9915107080841211,0.0136986301369863,0.0,107.24137708957835,26.43206548003978
10.0,0.1,1.0,1,strict,fixed_1,190.0,17.99652777777778,9.938696575410033,9.93869657541003,155.9426318601282,165.88132843553822,41.42810115715745,21.550708006337334,0.0,0.0,112,19,0.19238190227037222,0.9444337256415204,0.11653482539070037,0.9783908933050357,442.22732147002756,106.09134965597069
10.0,0.1,1.0,1,strict,fixed_3,190.0,17.99652777777778,7.566124510918346,7.566124510918348,186.36518808148142,193.93131259239976,20.348932407003822,5.216683385167162,0.0,0.0,17,19,0.07305216804705816,0.9915107080841211,0.0136986301369863,0.0,217.21617988202743,80.76515415657835
10.0,0.1,1.0,1,strict,fixed_5,190.0,17.99652777777778,4.825016846250598,4.825016846250599,191.25027421277125,196.07529105902185,12.897834582619232,3.247800890118012,0.0,0.0,7,18,0.07707403564354309,0.9959482924946942,0.0040517075053058075,0.0,137.67888657503107,51.5049982105327
10.0,0.1,1.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,7.566124510918346,7.566124510918348,186.36518808148142,193.93131259239976,20.348932407003822,5.216683385167162,0.0,0.0,17,19,0.07305216804705816,0.9915107080841211,0.0136986301369863,0.0,217.21617988202743,80.76515415657835
10.0,0.1,2.0,1,strict,fixed_1,190.0,17.99652777777778,32.87007368154115,32.87007368154115,176.74700115359843,209.6170748351396,87.77434353474358,22.034196171660863,0.0,0.0,112,19,0.1136571682144335,0.9444337256415204,0.11653482539070037,0.9783908933050357,936.953704151451,350.8740259556654
10.0,0.1,2.0,1,strict,fixed_3,190.0,17.99652777777778,18.250997465154768,18.250997465154775,196.88899043309357,215.13998789824834,41.765852336397074,5.263857406087631,0.0,0.0,17,19,0.0625216573682349,0.9915107080841211,0.0136986301369863,0.0,445.8326713447872,194.821618605062
10.0,0.1,2.0,1,strict,fixed_5,190.0,17.99652777777778,11.42791723078628,11.42791723078628,197.95701816428422,209.3849353950705,26.216732086614467,3.360897625041927,0.0,0.0,7,19,0.06769732142925167,0.9959482924946942,0.0040517075053058075,0.0,279.85244036119224,121.98814538422714
10.0,0.1,2.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,18.250997465154768,18.250997465154775,196.88899043309357,215.13998789824834,41.765852336397074,5.263857406087631,0.0,0.0,17,19,0.0625216573682349,0.9915107080841211,0.0136986301369863,0.0,445.8326713447872,194.821618605062
10.0,0.5,0.5,1,strict,fixed_1,190.0,17.99652777777778,0.0,0.0,97.7541941474197,97.7541941474197,16.84004209394529,71.85147663959916,55.01143454565379,0.0,112,17,0.48566802526072705,0.9444337256415204,0.11653482539070037,0.9783908933050357,179.76027142536114,0.0
10.0,0.5,0.5,1,strict,fixed_3,190.0,17.99652777777778,0.0,0.0,171.8653046024241,171.8653046024241,9.785593556600455,16.95274252405368,7.167148967453223,0.0,17,13,0.11155466435965633,0.9915107080841211,0.0136986301369863,0.0,104.45704018906342,0.0
10.0,0.5,0.5,1,strict,fixed_5,190.0,17.99652777777778,0.0,0.0,183.98071934407335,183.98071934407335,6.3133535934112475,8.632900815625032,2.3195472222138047,0.0,7,8,0.0902822128507883,0.9959482924946942,0.0040517075053058075,0.0,67.39235859534615,0.0
10.0,0.5,0.5,1,strict,economic_3_30m_5,190.0,17.99652777777778,0.0,0.0,171.8653046024241,171.8653046024241,9.785593556600455,16.95274252405368,7.167148967453223,0.0,17,13,0.11155466435965633,0.9915107080841211,0.0136986301369863,0.0,104.45704018906342,0.0
10.0,0.5,1.0,1,strict,fixed_1,190.0,17.99652777777778,0.0,0.0,113.95493663491983,113.95493663491983,35.72796314694262,72.75454426933513,37.026581122392564,0.0,112,18,0.4039937110194671,0.9444337256415204,0.11653482539070037,0.9783908933050357,381.3807778472748,0.0
